ID,구분,제목,설명,작성일,해외/국내,작성언어,키워드
1,논문,A scalable method for Computer Vision,This paper presents a scalable method that improves accuracy and reduces compute cost for Computer Vision tasks. We provide benchmarks and ablation studies.,2016-07-06,해외,English,"Computer Vision, algorithm, benchmark, ablation"
2,논문,A scalable method for Remote Sensing,This paper presents a scalable method that improves accuracy and reduces compute cost for Remote Sensing tasks. We provide benchmarks and ablation studies.,2019-03-31,해외,English,"Remote Sensing, algorithm, benchmark, ablation"
3,논문,재료과학을 위한 효율적 알고리즘 연구,재료과학 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2018-09-30,국내,한국어,"재료과학, 알고리즘, 성능평가, 실험"
4,데이터셋,Social Science Public Dataset (multi-country),A large labeled dataset for Social Science collected across multiple countries. Includes metadata and preprocessing code.,2019-12-26,해외,English,"Social Science, dataset, labeling, preprocessing"
5,데이터셋,Materials Science Public Dataset (multi-country),A large labeled dataset for Materials Science collected across multiple countries. Includes metadata and preprocessing code.,2023-11-14,해외,English,"Materials Science, dataset, labeling, preprocessing"
6,논문,A scalable method for Computer Vision,This paper presents a scalable method that improves accuracy and reduces compute cost for Computer Vision tasks. We provide benchmarks and ablation studies.,2020-04-05,해외,English,"Computer Vision, algorithm, benchmark, ablation"
7,논문,A scalable method for Computer Vision,This paper presents a scalable method that improves accuracy and reduces compute cost for Computer Vision tasks. We provide benchmarks and ablation studies.,2022-03-11,해외,English,"Computer Vision, algorithm, benchmark, ablation"
8,논문,A scalable method for Speech Processing,This paper presents a scalable method that improves accuracy and reduces compute cost for Speech Processing tasks. We provide benchmarks and ablation studies.,2022-12-08,해외,English,"Speech Processing, algorithm, benchmark, ablation"
9,논문,A scalable method for Speech Processing,This paper presents a scalable method that improves accuracy and reduces compute cost for Speech Processing tasks. We provide benchmarks and ablation studies.,2018-07-22,해외,English,"Speech Processing, algorithm, benchmark, ablation"
10,데이터셋,사회과학 공개 데이터셋 (국내 수집),국내 환경에서 수집된 사회과학 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2025-07-03,국내,한국어,"사회과학, 데이터셋, 라벨링, 전처리"
11,데이터셋,원격탐사 공개 데이터셋 (국내 수집),국내 환경에서 수집된 원격탐사 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2019-10-10,국내,한국어,"원격탐사, 데이터셋, 라벨링, 전처리"
12,데이터셋,Time Series Public Dataset (multi-country),A large labeled dataset for Time Series collected across multiple countries. Includes metadata and preprocessing code.,2023-02-13,해외,English,"Time Series, dataset, labeling, preprocessing"
13,데이터셋,Speech Processing Public Dataset (multi-country),A large labeled dataset for Speech Processing collected across multiple countries. Includes metadata and preprocessing code.,2025-05-09,해외,English,"Speech Processing, dataset, labeling, preprocessing"
14,논문,기후과학을 위한 효율적 알고리즘 연구,기후과학 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2017-07-25,국내,한국어,"기후과학, 알고리즘, 성능평가, 실험"
15,데이터셋,로보틱스 공개 데이터셋 (국내 수집),국내 환경에서 수집된 로보틱스 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2017-01-31,국내,한국어,"로보틱스, 데이터셋, 라벨링, 전처리"
16,논문,A scalable method for Autonomous Driving,This paper presents a scalable method that improves accuracy and reduces compute cost for Autonomous Driving tasks. We provide benchmarks and ablation studies.,2025-08-30,해외,English,"Autonomous Driving, algorithm, benchmark, ablation"
17,데이터셋,그래프분석 공개 데이터셋 (국내 수집),국내 환경에서 수집된 그래프분석 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2020-09-27,국내,한국어,"그래프분석, 데이터셋, 라벨링, 전처리"
18,논문,기후과학을 위한 효율적 알고리즘 연구,기후과학 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2018-08-10,국내,한국어,"기후과학, 알고리즘, 성능평가, 실험"
19,데이터셋,Speech Processing Public Dataset (multi-country),A large labeled dataset for Speech Processing collected across multiple countries. Includes metadata and preprocessing code.,2016-10-19,해외,English,"Speech Processing, dataset, labeling, preprocessing"
20,데이터셋,자연어처리 공개 데이터셋 (국내 수집),국내 환경에서 수집된 자연어처리 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2024-07-05,국내,한국어,"자연어처리, 데이터셋, 라벨링, 전처리"
21,논문,A scalable method for Computer Vision,This paper presents a scalable method that improves accuracy and reduces compute cost for Computer Vision tasks. We provide benchmarks and ablation studies.,2025-08-04,해외,English,"Computer Vision, algorithm, benchmark, ablation"
22,데이터셋,Bioinformatics Public Dataset (multi-country),A large labeled dataset for Bioinformatics collected across multiple countries. Includes metadata and preprocessing code.,2021-03-08,해외,English,"Bioinformatics, dataset, labeling, preprocessing"
23,데이터셋,시계열분석 공개 데이터셋 (국내 수집),국내 환경에서 수집된 시계열분석 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2019-02-13,국내,한국어,"시계열분석, 데이터셋, 라벨링, 전처리"
24,논문,A scalable method for Healthcare,This paper presents a scalable method that improves accuracy and reduces compute cost for Healthcare tasks. We provide benchmarks and ablation studies.,2022-01-05,해외,English,"Healthcare, algorithm, benchmark, ablation"
25,데이터셋,Climate Science Public Dataset (multi-country),A large labeled dataset for Climate Science collected across multiple countries. Includes metadata and preprocessing code.,2023-07-08,해외,English,"Climate Science, dataset, labeling, preprocessing"
26,논문,A scalable method for Computer Vision,This paper presents a scalable method that improves accuracy and reduces compute cost for Computer Vision tasks. We provide benchmarks and ablation studies.,2020-03-30,해외,English,"Computer Vision, algorithm, benchmark, ablation"
27,데이터셋,Social Science Public Dataset (multi-country),A large labeled dataset for Social Science collected across multiple countries. Includes metadata and preprocessing code.,2017-10-28,해외,English,"Social Science, dataset, labeling, preprocessing"
28,논문,A scalable method for Climate Science,This paper presents a scalable method that improves accuracy and reduces compute cost for Climate Science tasks. We provide benchmarks and ablation studies.,2023-11-25,해외,English,"Climate Science, algorithm, benchmark, ablation"
29,데이터셋,Graph Analysis Public Dataset (multi-country),A large labeled dataset for Graph Analysis collected across multiple countries. Includes metadata and preprocessing code.,2018-09-29,해외,English,"Graph Analysis, dataset, labeling, preprocessing"
30,논문,기후과학을 위한 효율적 알고리즘 연구,기후과학 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2024-01-11,국내,한국어,"기후과학, 알고리즘, 성능평가, 실험"
31,데이터셋,사회과학 공개 데이터셋 (국내 수집),국내 환경에서 수집된 사회과학 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2019-02-12,국내,한국어,"사회과학, 데이터셋, 라벨링, 전처리"
32,데이터셋,Autonomous Driving Public Dataset (multi-country),A large labeled dataset for Autonomous Driving collected across multiple countries. Includes metadata and preprocessing code.,2023-08-31,해외,English,"Autonomous Driving, dataset, labeling, preprocessing"
33,논문,A scalable method for Natural Language Processing,This paper presents a scalable method that improves accuracy and reduces compute cost for Natural Language Processing tasks. We provide benchmarks and ablation studies.,2024-03-07,해외,English,"Natural Language Processing, algorithm, benchmark, ablation"
34,논문,A scalable method for Materials Science,This paper presents a scalable method that improves accuracy and reduces compute cost for Materials Science tasks. We provide benchmarks and ablation studies.,2025-04-20,해외,English,"Materials Science, algorithm, benchmark, ablation"
35,데이터셋,생물정보학 공개 데이터셋 (국내 수집),국내 환경에서 수집된 생물정보학 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2018-05-31,국내,한국어,"생물정보학, 데이터셋, 라벨링, 전처리"
36,논문,그래프분석을 위한 효율적 알고리즘 연구,그래프분석 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2017-02-23,국내,한국어,"그래프분석, 알고리즘, 성능평가, 실험"
37,논문,음성처리을 위한 효율적 알고리즘 연구,음성처리 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2023-11-12,국내,한국어,"음성처리, 알고리즘, 성능평가, 실험"
38,데이터셋,재료과학 공개 데이터셋 (국내 수집),국내 환경에서 수집된 재료과학 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2025-01-18,국내,한국어,"재료과학, 데이터셋, 라벨링, 전처리"
39,데이터셋,사회과학 공개 데이터셋 (국내 수집),국내 환경에서 수집된 사회과학 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2022-10-08,국내,한국어,"사회과학, 데이터셋, 라벨링, 전처리"
40,데이터셋,Bioinformatics Public Dataset (multi-country),A large labeled dataset for Bioinformatics collected across multiple countries. Includes metadata and preprocessing code.,2021-12-27,해외,English,"Bioinformatics, dataset, labeling, preprocessing"
41,데이터셋,Autonomous Driving Public Dataset (multi-country),A large labeled dataset for Autonomous Driving collected across multiple countries. Includes metadata and preprocessing code.,2023-03-06,해외,English,"Autonomous Driving, dataset, labeling, preprocessing"
42,데이터셋,원격탐사 공개 데이터셋 (국내 수집),국내 환경에서 수집된 원격탐사 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2025-09-30,국내,한국어,"원격탐사, 데이터셋, 라벨링, 전처리"
43,데이터셋,Graph Analysis Public Dataset (multi-country),A large labeled dataset for Graph Analysis collected across multiple countries. Includes metadata and preprocessing code.,2022-03-31,해외,English,"Graph Analysis, dataset, labeling, preprocessing"
44,데이터셋,원격탐사 공개 데이터셋 (국내 수집),국내 환경에서 수집된 원격탐사 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2017-10-15,국내,한국어,"원격탐사, 데이터셋, 라벨링, 전처리"
45,데이터셋,컴퓨터비전 공개 데이터셋 (국내 수집),국내 환경에서 수집된 컴퓨터비전 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2017-01-14,국내,한국어,"컴퓨터비전, 데이터셋, 라벨링, 전처리"
46,논문,자율주행을 위한 효율적 알고리즘 연구,자율주행 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2022-02-11,국내,한국어,"자율주행, 알고리즘, 성능평가, 실험"
47,데이터셋,Materials Science Public Dataset (multi-country),A large labeled dataset for Materials Science collected across multiple countries. Includes metadata and preprocessing code.,2021-01-31,해외,English,"Materials Science, dataset, labeling, preprocessing"
48,논문,컴퓨터비전을 위한 효율적 알고리즘 연구,컴퓨터비전 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2022-08-15,국내,한국어,"컴퓨터비전, 알고리즘, 성능평가, 실험"
49,데이터셋,Robotics Public Dataset (multi-country),A large labeled dataset for Robotics collected across multiple countries. Includes metadata and preprocessing code.,2019-01-10,해외,English,"Robotics, dataset, labeling, preprocessing"
50,논문,자연어처리을 위한 효율적 알고리즘 연구,자연어처리 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2024-04-25,국내,한국어,"자연어처리, 알고리즘, 성능평가, 실험"
51,데이터셋,기후과학 공개 데이터셋 (국내 수집),국내 환경에서 수집된 기후과학 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2021-01-13,국내,한국어,"기후과학, 데이터셋, 라벨링, 전처리"
52,논문,음성처리을 위한 효율적 알고리즘 연구,음성처리 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2017-04-01,국내,한국어,"음성처리, 알고리즘, 성능평가, 실험"
53,데이터셋,추천시스템 공개 데이터셋 (국내 수집),국내 환경에서 수집된 추천시스템 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2020-09-14,국내,한국어,"추천시스템, 데이터셋, 라벨링, 전처리"
54,논문,음성처리을 위한 효율적 알고리즘 연구,음성처리 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2024-04-21,국내,한국어,"음성처리, 알고리즘, 성능평가, 실험"
55,논문,추천시스템을 위한 효율적 알고리즘 연구,추천시스템 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2022-10-01,국내,한국어,"추천시스템, 알고리즘, 성능평가, 실험"
56,논문,자연어처리을 위한 효율적 알고리즘 연구,자연어처리 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2017-01-18,국내,한국어,"자연어처리, 알고리즘, 성능평가, 실험"
57,논문,로보틱스을 위한 효율적 알고리즘 연구,로보틱스 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2016-05-10,국내,한국어,"로보틱스, 알고리즘, 성능평가, 실험"
58,논문,자연어처리을 위한 효율적 알고리즘 연구,자연어처리 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2022-04-17,국내,한국어,"자연어처리, 알고리즘, 성능평가, 실험"
59,논문,A scalable method for Climate Science,This paper presents a scalable method that improves accuracy and reduces compute cost for Climate Science tasks. We provide benchmarks and ablation studies.,2025-09-19,해외,English,"Climate Science, algorithm, benchmark, ablation"
60,논문,A scalable method for Social Science,This paper presents a scalable method that improves accuracy and reduces compute cost for Social Science tasks. We provide benchmarks and ablation studies.,2022-06-22,해외,English,"Social Science, algorithm, benchmark, ablation"
